name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
gadhvi (he thought he was gandhi),2019,109,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
yaaram,2019,110,Comedy,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
yaaram,2019,110,Romance,4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...aur pyaar ho gaya,1997,147,Comedy,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...aur pyaar ho gaya,1997,147,Drama,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...aur pyaar ho gaya,1997,147,Musical,4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...yahaan,2005,142,Drama,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
...yahaan,2005,142,Romance,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
...yahaan,2005,142,War,7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
 a question mark,2012,82,Horror,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
 a question mark,2012,82,Mystery,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
 a question mark,2012,82,Thriller,5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
andheri,2014,116,Action,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
andheri,2014,116,Crime,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
andheri,2014,116,Thriller,4,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
11.6 an ode to lost love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1137 ek tera saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 days,1991,161,Horror,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100 days,1991,161,Romance,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100 days,1991,161,Thriller,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% love,2012,166,Comedy,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
100% love,2012,166,Drama,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
100% love,2012,166,Romance,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
102 not out,2018,102,Comedy,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
102 not out,2018,102,Drama,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
10ml love,2010,87,Comedy,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
10ml love,2010,87,Drama,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
10ml love,2010,87,Romance,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 o'clock,1958,132,Crime,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,1958,132,Drama,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,1958,132,Mystery,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 o'clock,2021,105,Horror,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
12 o'clock,2021,105,Thriller,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
127 b,2017,116,Comedy,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
127 b,2017,116,Horror,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13b fear has a new address,2009,146,Drama,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
13b fear has a new address,2009,146,Horror,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
13b fear has a new address,2009,146,Mystery,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
15 park avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
15th august,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16-Dec,2002,158,Action,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
16-Dec,2002,158,Thriller,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
19 revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1920,2008,138,Horror,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920,2008,138,Mystery,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920,2008,138,Romance,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 london,2016,120,Horror,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920 london,2016,120,Mystery,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920 evil returns,2012,124,Drama,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1920 evil returns,2012,124,Horror,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1920 evil returns,2012,124,Romance,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,2018,144,Horror,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1921,2018,144,Mystery,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1921,2018,144,Romance,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942 a love story,1994,157,Action,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1942 a love story,1994,157,Drama,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1942 a love story,1994,157,History,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,2007,136,Action,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1971,2007,136,Drama,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1971,2007,136,War,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978 a teen night out,2019,107,Thriller,4,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - a love marriage,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
2 nights in soul valley,2012,80,Adventure,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 nights in soul valley,2012,80,Horror,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 nights in soul valley,2012,80,Mystery,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2-Oct,2003,122,Action,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2-Oct,2003,122,Crime,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2-Oct,2003,122,Thriller,5,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 states,2014,149,Comedy,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2 states,2014,149,Drama,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2 states,2014,149,Romance,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2,2018,148,Action,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2,2018,148,Sci-Fi,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001 do hazaar ek,1998,149,Crime,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2001 do hazaar ek,1998,149,Mystery,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2001 do hazaar ek,1998,149,Thriller,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2016 the end,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
22 days,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 june 1897,1979,121,Drama,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 june 1897,1979,121,History,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 yards,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd march 1931 shaheed,2002,188,Biography,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
23rd march 1931 shaheed,2002,188,Drama,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
23rd march 1931 shaheed,2002,188,History,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
27 down,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 am a paranormal experience,2014,103,Horror,5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 am a paranormal experience,2014,103,Romance,5,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 bachelors,2012,114,Comedy,3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
